Nr;Datum;Zeit;Eintrag
94;2025-12-09;23:24:41; [ContactsViewModel; INIT | ViewModel erfolgreich initialisiert
93;2025-12-09;23:24:41; [ContactsViewModel; INIT_SIM_SELECTION | sms_mode=ALWAYS_SIM_2, mmi_mode=DEFAULT_VOICE_SIM, available_sims=2, default_sms_sub_id=2, default_voice_sub_id=2 | SIM-Auswahl initialisiert
92;2025-12-09;23:24:41; [PhoneSmsUtils; GET_DEFAULT_SIMS | sms_sub_id=2, voice_sub_id=2 | Default SIM IDs ermittelt
91;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
90;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
89;2025-12-09;23:24:41; [ContactsViewModel; INIT | ViewModel erfolgreich initialisiert
88;2025-12-09;23:24:41; [ContactsViewModel; COUNTRY_CODE_INIT | source=sim, code=+43 | Laendercode von SIM-Karte ermittelt
87;2025-12-09;23:24:41; [ContactsViewModel; RESTORE_CONTACT | contact=Dani, number=+43 6644440286, forwarding_active=true | Gespeicherter Kontakt wiederhergestellt
86;2025-12-09;23:24:41; [ContactsViewModel; INIT_SIM_SELECTION | sms_mode=ALWAYS_SIM_2, mmi_mode=DEFAULT_VOICE_SIM, available_sims=2, default_sms_sub_id=2, default_voice_sub_id=2 | SIM-Auswahl initialisiert
85;2025-12-09;23:24:41; [PhoneSmsUtils; GET_DEFAULT_SIMS | sms_sub_id=2, voice_sub_id=2 | Default SIM IDs ermittelt
84;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
83;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
82;2025-12-09;23:24:41; [ContactsViewModel; COUNTRY_CODE_INIT | source=sim, code=+43 | Laendercode von SIM-Karte ermittelt
81;2025-12-09;23:24:41; [ContactsViewModel; RESTORE_CONTACT | contact=Dani, number=+43 6644440286, forwarding_active=true | Gespeicherter Kontakt wiederhergestellt
80;2025-12-09;23:24:41; [MainActivity; CHECK_SIM_NUMBERS_DEBUG | stored_numbers={1=+436702026399, 2=+436648457008}, sim_count=2 | SIM-Nummern-Pruefung gestartet
79;2025-12-09;23:24:41; [MainActivity; CHECK_SIM_DEBUG | subscription_id=2, slot=1, auto_detected=null, stored=+436648457008, carrier=A1 AT | Pruefe SIM-Karte
78;2025-12-09;23:24:41; [MainActivity; CHECK_SIM_DEBUG | subscription_id=1, slot=0, auto_detected=+436702026399, stored=+436702026399, carrier=spusu | Pruefe SIM-Karte
77;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
76;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
75;2025-12-09;23:24:41; [ContactsViewModel; INIT | ViewModel erfolgreich initialisiert
74;2025-12-09;23:24:41; [MainActivity; CALL_STATE_CHANGED | state=IDLE | Telefonstatus geaendert
73;2025-12-09;23:24:41; [PhoneSmsUtils; GET_DEFAULT_SIMS | sms_sub_id=2, voice_sub_id=2 | Default SIM IDs ermittelt
72;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
71;2025-12-09;23:24:41; [ContactsViewModel; INIT_SIM_SELECTION | sms_mode=ALWAYS_SIM_2, mmi_mode=DEFAULT_VOICE_SIM, available_sims=2, default_sms_sub_id=2, default_voice_sub_id=2 | SIM-Auswahl initialisiert
70;2025-12-09;23:24:41; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
69;2025-12-09;23:24:41; [SmsForegroundService; DESTROY | Foreground Service wurde beendet, Coroutines werden abgebrochen
68;2025-12-09;23:24:41; [MainActivity; CHECK_BATTERY_OPT | isIgnoring=true | Battery Optimization Status geprueft
67;2025-12-09;23:24:41; [ContactsViewModel; COUNTRY_CODE_INIT | source=sim, code=+43 | Laendercode von SIM-Karte ermittelt
66;2025-12-09;23:24:41; [ContactsViewModel; RESTORE_CONTACT | contact=Dani, number=+43 6644440286, forwarding_active=true | Gespeicherter Kontakt wiederhergestellt
65;2025-12-09;23:24:41; [MainActivity; DESTROY | forwardingActive=true, timestamp=1765319081046 | App wird beendet
64;2025-12-09;23:22:21; [SmsForegroundService; WAKE_LOCK_RELEASED | WakeLock freigegeben
63;2025-12-09;23:22:21; [SmsForegroundService; PROCESS_SMS | messages_count=1, groups_count=1, subscription_id=1 | SMS-Verarbeitung abgeschlossen
62;2025-12-09;23:22:21; [SmsForegroundService; UPDATE_NOTIFICATION | text=SMS: Aktiv An: +43 6644440286 E-Mail: Aktiv E-Mail: 1 Adressen, success=true | Notification aktualisiert
61;2025-12-09;23:22:21; [SmsForegroundService; EMAIL_FORWARD | sender=+436648457008, recipients=1, smtp_host=smtp.gmail.com | SMS erfolgreich per Email weitergeleitet
60;2025-12-09;23:22:19; [TestUtilsViewModel; TEST_EMAIL_SENT | sender=+436702026399, recipients=1, smtp_host=smtp.gmail.com | Test-Email erfolgreich versendet
